shipment_id,order_id,origin,destination,distance_km,shipment_date,delivery_date,delivery_status,transport_cost,vehicle_type
65,1273,Delhi,Chennai,351,2024-01-23,2024-01-30,Delayed,5163.739684862683,Van
66,1387,Mumbai,Chennai,1433,2024-01-08,2024-01-10,On-Time,15221.165662554646,Truck
67,1600,Delhi,Chennai,287,2024-01-11,2024-01-20,Delayed,3486.3419033941245,Van
68,1315,Mumbai,Hyderabad,696,2024-01-16,2024-01-17,On-Time,3956.415149859477,Van
69,1013,Delhi,Pune,712,2024-01-26,2024-02-01,Delayed,6533.789010217002,Bike
70,1241,Delhi,Hyderabad,285,2024-01-27,2024-02-05,Delayed,1756.6216827188134,Bike
71,1776,Bangalore,Hyderabad,1809,2024-01-25,2024-01-26,On-Time,20130.476664855472,Van
72,1345,Mumbai,Pune,252,2024-01-22,2024-01-26,On-Time,3624.9750386996698,Van
73,1564,Mumbai,Hyderabad,305,2024-01-04,2024-01-08,On-Time,3543.422084038498,Van
74,1897,Bangalore,Pune,647,2024-01-28,2024-02-06,Delayed,3731.9157225943077,Truck
75,1339,Bangalore,Hyderabad,711,2024-01-01,2024-01-06,On-Time,6076.676717443939,Truck
76,1091,Bangalore,Pune,284,2024-01-24,2024-01-29,On-Time,2983.883997612018,Truck
77,1366,Bangalore,Chennai,1418,2024-01-07,2024-01-13,Delayed,12807.485981969516,Van
78,1955,Mumbai,Hyderabad,583,2024-01-02,2024-01-03,On-Time,7775.144581070254,Van
79,1454,Mumbai,Hyderabad,909,2024-01-24,2024-01-25,On-Time,11950.359432813802,Truck
80,1427,Delhi,Hyderabad,1870,2024-01-28,2024-02-06,Delayed,20791.24007593024,Truck
81,1508,Delhi,Hyderabad,1854,2024-01-05,2024-01-08,On-Time,16193.910302760354,Van
82,1775,Bangalore,Chennai,1539,2024-01-07,2024-01-11,On-Time,11624.626792216328,Bike
83,1942,Bangalore,Hyderabad,819,2024-01-04,2024-01-05,On-Time,4962.1106661655285,Truck
84,1034,Bangalore,Chennai,590,2024-01-05,2024-01-14,Delayed,5043.896332570668,Van
85,1205,Delhi,Chennai,262,2024-01-24,2024-02-01,Delayed,2392.5119950842254,Van
86,1080,Delhi,Chennai,512,2024-01-01,2024-01-03,On-Time,6020.213376532856,Bike
87,1931,Delhi,Chennai,485,2024-01-01,2024-01-09,Delayed,5617.075147843231,Van
88,1561,Delhi,Pune,332,2024-01-15,2024-01-22,Delayed,1892.7590236089732,Van
89,1871,Delhi,Pune,1635,2024-01-20,2024-01-26,Delayed,14637.489807299431,Truck
90,1387,Delhi,Hyderabad,1680,2024-01-19,2024-01-20,On-Time,11453.88496925168,Truck
91,1001,Delhi,Pune,1536,2024-01-29,2024-02-05,Delayed,10088.643153666137,Bike
92,1389,Bangalore,Pune,1480,2024-01-10,2024-01-17,Delayed,19644.07181611124,Bike
93,1565,Bangalore,Hyderabad,137,2024-01-28,2024-02-06,Delayed,742.4238469012729,Van
94,1105,Bangalore,Hyderabad,1117,2024-01-18,2024-01-19,On-Time,10267.272723826694,Truck
95,1771,Bangalore,Hyderabad,510,2024-01-28,2024-01-30,On-Time,3407.8386444092425,Bike
96,1821,Delhi,Pune,327,2024-01-03,2024-01-12,Delayed,4510.40980526861,Bike
97,1476,Mumbai,Pune,1756,2024-01-11,2024-01-20,Delayed,18561.63141310962,Bike
98,1702,Delhi,Hyderabad,470,2024-01-15,2024-01-21,Delayed,3437.4889909711856,Van
99,1401,Mumbai,Chennai,1774,2024-01-27,2024-02-02,Delayed,17783.06007433152,Truck
100,1729,Bangalore,Hyderabad,1426,2024-01-30,2024-02-03,On-Time,17560.995489366433,Bike
101,1555,Delhi,Chennai,745,2024-01-11,2024-01-15,On-Time,10862.97916644978,Truck
102,1161,Bangalore,Chennai,564,2024-01-17,2024-01-22,On-Time,4063.3154639441627,Bike
103,1201,Delhi,Hyderabad,752,2024-01-17,2024-01-20,On-Time,10424.086926412676,Bike
104,1957,Bangalore,Hyderabad,1703,2024-01-06,2024-01-07,On-Time,24426.199064272358,Truck
105,1995,Mumbai,Hyderabad,68,2024-01-05,2024-01-06,On-Time,963.1659702818051,Truck
106,1269,Mumbai,Pune,72,2024-01-08,2024-01-15,Delayed,817.498336940575,Truck
107,1862,Mumbai,Chennai,462,2024-01-02,2024-01-03,On-Time,5219.77142348835,Van
108,1815,Delhi,Pune,1103,2024-01-16,2024-01-17,On-Time,9962.413284017566,Bike
109,1270,Mumbai,Pune,1880,2024-01-20,2024-01-23,On-Time,23545.080187311214,Van
110,1455,Delhi,Hyderabad,157,2024-01-24,2024-01-28,On-Time,1619.1316088109631,Truck
111,1461,Mumbai,Pune,1440,2024-01-12,2024-01-16,On-Time,16955.10822568744,Bike
112,1726,Mumbai,Hyderabad,1354,2024-01-06,2024-01-08,On-Time,12571.32001811269,Van
113,1251,Delhi,Chennai,1201,2024-01-01,2024-01-02,On-Time,14790.2725331581,Bike
114,1701,Delhi,Hyderabad,1302,2024-01-04,2024-01-07,On-Time,17244.61915921123,Van
115,1295,Mumbai,Pune,1184,2024-01-17,2024-01-21,On-Time,7653.805278177342,Truck
116,1724,Delhi,Pune,185,2024-01-13,2024-01-16,On-Time,2465.9199738123216,Van
117,1719,Mumbai,Hyderabad,411,2024-01-18,2024-01-26,Delayed,4275.618745658163,Bike
118,1748,Delhi,Hyderabad,1259,2024-01-05,2024-01-06,On-Time,16929.343795445922,Bike
119,1337,Bangalore,Pune,1729,2024-01-30,2024-02-01,On-Time,16102.206502636143,Bike
120,1878,Bangalore,Chennai,1657,2024-01-24,2024-01-31,Delayed,14565.700842796889,Bike
121,1052,Bangalore,Chennai,178,2024-01-24,2024-01-28,On-Time,2518.808103880656,Truck
122,1791,Bangalore,Hyderabad,1949,2024-01-27,2024-02-04,Delayed,14640.28902451834,Van
123,1921,Bangalore,Chennai,1334,2024-01-03,2024-01-06,On-Time,17931.79241931715,Truck
124,1216,Mumbai,Pune,564,2024-01-11,2024-01-17,Delayed,5549.876028953039,Truck
125,1763,Bangalore,Hyderabad,498,2024-01-13,2024-01-22,Delayed,5050.195303905273,Truck
126,1187,Bangalore,Pune,1973,2024-01-04,2024-01-05,On-Time,15951.07919378752,Bike
127,1379,Bangalore,Pune,1177,2024-01-26,2024-01-27,On-Time,12629.706701285815,Bike
128,1492,Bangalore,Chennai,1556,2024-01-27,2024-02-04,Delayed,12840.286214057847,Bike
129,1040,Delhi,Hyderabad,1297,2024-01-14,2024-01-17,On-Time,6994.324302714231,Van
130,1156,Mumbai,Hyderabad,1905,2024-01-22,2024-01-27,On-Time,14706.573431809982,Bike
131,1014,Bangalore,Chennai,923,2024-01-11,2024-01-12,On-Time,4673.878570642832,Van
132,1812,Bangalore,Pune,1939,2024-01-27,2024-02-01,On-Time,28665.299321032453,Bike
133,1064,Bangalore,Pune,1564,2024-01-10,2024-01-16,Delayed,22924.286361580853,Bike
134,1856,Mumbai,Pune,522,2024-01-19,2024-01-27,Delayed,4672.710652805432,Truck
135,1838,Delhi,Pune,1083,2024-01-18,2024-01-21,On-Time,13303.256352498367,Truck
136,1520,Mumbai,Hyderabad,1478,2024-01-06,2024-01-09,On-Time,12501.014134506082,Truck
137,1343,Delhi,Hyderabad,1969,2024-01-27,2024-02-05,Delayed,23058.824263022867,Van
138,1128,Bangalore,Chennai,351,2024-01-29,2024-02-02,On-Time,4582.059451091386,Van
139,1647,Bangalore,Chennai,280,2024-01-15,2024-01-19,On-Time,4050.917485138274,Bike
140,1471,Mumbai,Hyderabad,1804,2024-01-21,2024-01-28,Delayed,16239.829456328082,Van
141,1062,Mumbai,Hyderabad,972,2024-01-30,2024-02-01,On-Time,12473.656394332784,Bike
142,1138,Delhi,Pune,1139,2024-01-10,2024-01-18,Delayed,8723.925052699833,Van
143,1498,Delhi,Pune,986,2024-01-05,2024-01-11,Delayed,14694.676515405372,Van
144,1592,Mumbai,Chennai,161,2024-01-26,2024-01-29,On-Time,846.4890540106054,Van
145,1391,Delhi,Hyderabad,1086,2024-01-29,2024-02-07,Delayed,11984.322838602173,Truck
146,1674,Mumbai,Chennai,1466,2024-01-05,2024-01-10,On-Time,16998.357691008456,Van
147,1418,Delhi,Hyderabad,549,2024-01-10,2024-01-18,Delayed,6522.370108336967,Truck
148,1288,Mumbai,Pune,981,2024-01-28,2024-02-04,Delayed,6086.002147920964,Truck
149,1378,Mumbai,Chennai,647,2024-01-05,2024-01-13,Delayed,9307.287699071154,Van
150,1772,Mumbai,Chennai,283,2024-01-03,2024-01-10,Delayed,1927.7486797117344,Bike
151,1489,Delhi,Hyderabad,651,2024-01-23,2024-01-26,On-Time,7309.124655091365,Bike
152,1230,Delhi,Pune,363,2024-01-06,2024-01-08,On-Time,2623.3141672167985,Bike
153,1040,Delhi,Chennai,615,2024-01-04,2024-01-11,Delayed,4964.380964680816,Van
154,1027,Mumbai,Pune,1085,2024-01-18,2024-01-21,On-Time,11354.07517775015,Bike
155,1134,Delhi,Chennai,258,2024-01-28,2024-01-31,On-Time,2366.359019896607,Truck
156,1200,Delhi,Pune,1087,2024-01-09,2024-01-11,On-Time,7176.652282614624,Bike
157,1839,Mumbai,Hyderabad,1706,2024-01-17,2024-01-21,On-Time,11446.175025299672,Van
158,1779,Bangalore,Chennai,1491,2024-01-29,2024-02-06,Delayed,13689.538791507342,Bike
159,1929,Mumbai,Chennai,1510,2024-01-13,2024-01-14,On-Time,18984.972971960062,Truck
160,1032,Delhi,Pune,1450,2024-01-27,2024-01-28,On-Time,20270.487379292932,Van
161,1047,Mumbai,Pune,1093,2024-01-15,2024-01-20,On-Time,6384.515348495054,Bike
162,1502,Bangalore,Chennai,636,2024-01-30,2024-02-04,On-Time,5680.140852077791,Van
163,1406,Mumbai,Hyderabad,1985,2024-01-20,2024-01-21,On-Time,11914.8744398991,Van
164,1573,Delhi,Pune,1828,2024-01-17,2024-01-23,Delayed,9443.31054596389,Van
165,1727,Bangalore,Pune,1808,2024-01-13,2024-01-14,On-Time,21003.873782202736,Bike
166,1804,Delhi,Pune,1064,2024-01-16,2024-01-21,On-Time,11730.062062524494,Van
167,1098,Bangalore,Chennai,1143,2024-01-22,2024-01-31,Delayed,7578.3084709041495,Bike
168,1683,Bangalore,Chennai,1897,2024-01-04,2024-01-09,On-Time,13920.429443775427,Truck
169,1871,Mumbai,Chennai,1284,2024-01-05,2024-01-11,Delayed,6724.407556795616,Bike
170,1725,Mumbai,Chennai,1174,2024-01-05,2024-01-13,Delayed,15672.2801948523,Truck
171,1986,Delhi,Hyderabad,747,2024-01-09,2024-01-10,On-Time,11015.93875248268,Bike
172,1546,Mumbai,Hyderabad,181,2024-01-17,2024-01-19,On-Time,1150.1817615983905,Van
173,1960,Mumbai,Chennai,1696,2024-01-13,2024-01-22,Delayed,12405.819625459455,Bike
174,1738,Bangalore,Hyderabad,1454,2024-01-02,2024-01-05,On-Time,19896.67447818842,Van
175,1612,Mumbai,Pune,1205,2024-01-13,2024-01-19,Delayed,17188.888765372027,Truck
176,1942,Bangalore,Pune,1093,2024-01-22,2024-01-27,On-Time,10051.527294078438,Bike
177,1461,Bangalore,Pune,1979,2024-01-21,2024-01-23,On-Time,10896.818726204978,Van
178,1642,Bangalore,Chennai,585,2024-01-27,2024-02-03,Delayed,3155.4422271029935,Truck
179,1768,Delhi,Pune,1063,2024-01-23,2024-01-27,On-Time,11416.08707631358,Truck
180,1004,Delhi,Hyderabad,276,2024-01-19,2024-01-20,On-Time,2464.390500545174,Bike
181,1217,Delhi,Chennai,1227,2024-01-03,2024-01-07,On-Time,6486.5652863778205,Truck
182,1502,Bangalore,Hyderabad,1878,2024-01-10,2024-01-16,Delayed,20343.479927629814,Van
183,1766,Delhi,Pune,1815,2024-01-02,2024-01-09,Delayed,9280.141039090759,Truck
184,1397,Delhi,Pune,1542,2024-01-13,2024-01-20,Delayed,19851.275594661787,Truck
185,1870,Mumbai,Pune,871,2024-01-19,2024-01-26,Delayed,7024.029885746367,Van
186,1794,Delhi,Chennai,920,2024-01-26,2024-01-29,On-Time,4970.373627684935,Truck
187,1392,Delhi,Hyderabad,454,2024-01-17,2024-01-23,Delayed,4941.119083263516,Truck
188,1206,Bangalore,Chennai,251,2024-01-21,2024-01-29,Delayed,2253.1878802269675,Truck
189,1014,Bangalore,Chennai,87,2024-01-14,2024-01-18,On-Time,1282.2063596207201,Truck
190,1857,Bangalore,Pune,991,2024-01-12,2024-01-20,Delayed,10348.008745411687,Van
191,1553,Bangalore,Chennai,1845,2024-01-21,2024-01-23,On-Time,14303.162890132804,Truck
192,1891,Bangalore,Chennai,237,2024-01-12,2024-01-21,Delayed,2866.3701091825205,Van
193,1460,Bangalore,Pune,1130,2024-01-11,2024-01-20,Delayed,8717.859628732638,Truck
194,1690,Delhi,Chennai,990,2024-01-07,2024-01-15,Delayed,13902.008584934894,Truck
195,1574,Bangalore,Pune,1093,2024-01-04,2024-01-05,On-Time,9560.711137645625,Truck
196,1863,Bangalore,Pune,322,2024-01-19,2024-01-21,On-Time,3380.576772139381,Truck
197,1742,Mumbai,Pune,1192,2024-01-01,2024-01-07,Delayed,6562.831397584808,Van
198,1240,Delhi,Pune,632,2024-01-28,2024-02-02,On-Time,5853.0862238580985,Van
199,1563,Delhi,Chennai,565,2024-01-24,2024-02-02,Delayed,7527.853999084621,Van
200,1095,Delhi,Pune,1294,2024-01-29,2024-02-03,On-Time,16895.095541401646,Bike
201,1899,Bangalore,Pune,575,2024-01-03,2024-01-05,On-Time,4164.831713407776,Truck
202,1733,Bangalore,Chennai,1588,2024-01-13,2024-01-17,On-Time,11530.135647647736,Truck
203,1484,Bangalore,Chennai,1801,2024-01-15,2024-01-24,Delayed,23724.668672960393,Van
204,1406,Mumbai,Hyderabad,1814,2024-01-02,2024-01-03,On-Time,25947.427341871567,Bike
205,1230,Bangalore,Chennai,385,2024-01-11,2024-01-12,On-Time,2292.1395469010636,Truck
206,1748,Mumbai,Chennai,747,2024-01-04,2024-01-11,Delayed,7096.938036513903,Van
207,1654,Delhi,Hyderabad,1128,2024-01-19,2024-01-22,On-Time,9446.484266716503,Truck
208,1170,Bangalore,Chennai,549,2024-01-29,2024-01-31,On-Time,7525.0796204613425,Truck
209,1540,Mumbai,Chennai,949,2024-01-17,2024-01-26,Delayed,5537.651440313378,Van
210,1035,Mumbai,Chennai,1961,2024-01-03,2024-01-06,On-Time,13945.179733563113,Van
211,1524,Bangalore,Chennai,815,2024-01-28,2024-01-30,On-Time,10207.616951329928,Truck
212,1159,Delhi,Hyderabad,585,2024-01-18,2024-01-26,Delayed,3225.069016540111,Truck
213,1838,Delhi,Chennai,211,2024-01-08,2024-01-14,Delayed,2094.2496533071503,Van
214,1698,Delhi,Chennai,1743,2024-01-22,2024-01-28,Delayed,16420.92561446752,Truck
215,1242,Mumbai,Hyderabad,643,2024-01-25,2024-02-01,Delayed,5365.199580897654,Truck
216,1085,Mumbai,Pune,1988,2024-01-24,2024-01-31,Delayed,17784.097628540207,Van
217,1795,Mumbai,Hyderabad,208,2024-01-26,2024-02-01,Delayed,2142.2764208148847,Truck
218,1577,Mumbai,Pune,1261,2024-01-19,2024-01-23,On-Time,8339.842389277512,Truck
219,1681,Delhi,Hyderabad,109,2024-01-05,2024-01-14,Delayed,1168.4755073291162,Bike
220,1556,Bangalore,Hyderabad,964,2024-01-07,2024-01-13,Delayed,12584.367654451868,Van
221,1573,Mumbai,Chennai,1890,2024-01-21,2024-01-25,On-Time,23817.041573034003,Bike
222,1952,Mumbai,Pune,1392,2024-01-08,2024-01-11,On-Time,9102.28667333733,Bike
223,1645,Delhi,Chennai,1951,2024-01-28,2024-02-01,On-Time,12666.857154656156,Bike
224,1795,Bangalore,Pune,260,2024-01-05,2024-01-08,On-Time,1997.2533561367745,Truck
225,1027,Bangalore,Hyderabad,455,2024-01-17,2024-01-19,On-Time,3917.8900048517194,Truck
226,1619,Delhi,Hyderabad,713,2024-01-05,2024-01-10,On-Time,6477.288295442481,Bike
227,1555,Delhi,Pune,1182,2024-01-04,2024-01-06,On-Time,13944.02110297014,Bike
228,1339,Bangalore,Chennai,1149,2024-01-22,2024-01-28,Delayed,6396.258165585449,Bike
229,1797,Mumbai,Chennai,591,2024-01-19,2024-01-22,On-Time,3159.9156819760524,Truck
230,1957,Bangalore,Chennai,1387,2024-01-27,2024-02-02,Delayed,12370.79950803202,Bike
231,1330,Delhi,Chennai,1047,2024-01-21,2024-01-30,Delayed,12534.303856684655,Bike
232,1639,Mumbai,Hyderabad,1190,2024-01-02,2024-01-03,On-Time,8251.880581182144,Van
233,1505,Mumbai,Hyderabad,976,2024-01-11,2024-01-17,Delayed,11141.083737061017,Van
234,1347,Delhi,Hyderabad,917,2024-01-22,2024-01-31,Delayed,6967.624024912546,Truck
235,1472,Delhi,Hyderabad,1777,2024-01-13,2024-01-17,On-Time,24630.750153616184,Van
236,1230,Delhi,Hyderabad,68,2024-01-15,2024-01-17,On-Time,949.0691621012992,Van
237,1189,Bangalore,Chennai,481,2024-01-12,2024-01-16,On-Time,3834.9514525931804,Van
238,1224,Bangalore,Chennai,1758,2024-01-22,2024-01-23,On-Time,12833.29019467377,Truck
239,1384,Mumbai,Chennai,789,2024-01-21,2024-01-24,On-Time,7190.188339602565,Van
240,1376,Delhi,Chennai,1423,2024-01-22,2024-01-31,Delayed,10537.764457113515,Truck
241,1282,Mumbai,Hyderabad,232,2024-01-11,2024-01-16,On-Time,2719.9305164367524,Bike
242,1957,Mumbai,Hyderabad,162,2024-01-07,2024-01-13,Delayed,2148.2247889682226,Van
243,1632,Mumbai,Hyderabad,1256,2024-01-28,2024-01-31,On-Time,14734.037164244884,Truck
244,1627,Mumbai,Pune,530,2024-01-05,2024-01-10,On-Time,7019.057370421552,Van
245,1972,Delhi,Chennai,1219,2024-01-17,2024-01-25,Delayed,10934.334457309109,Bike
246,1744,Mumbai,Chennai,880,2024-01-24,2024-01-30,Delayed,5775.589342237975,Truck
247,1258,Delhi,Hyderabad,1701,2024-01-20,2024-01-24,On-Time,21057.545615233044,Truck
248,1358,Delhi,Chennai,1186,2024-01-09,2024-01-11,On-Time,10205.227630978829,Truck
249,1709,Bangalore,Chennai,812,2024-01-14,2024-01-23,Delayed,9510.719100860555,Bike
250,1455,Delhi,Hyderabad,525,2024-01-26,2024-01-27,On-Time,4045.8806954042698,Bike
251,1410,Bangalore,Pune,812,2024-01-12,2024-01-13,On-Time,4719.584634630182,Bike
252,1648,Delhi,Pune,1376,2024-01-06,2024-01-10,On-Time,20537.925505911622,Truck
253,1317,Delhi,Pune,1020,2024-01-17,2024-01-24,Delayed,6693.255380892112,Bike
254,1676,Delhi,Hyderabad,1898,2024-01-19,2024-01-20,On-Time,28250.23046542687,Van
255,1224,Bangalore,Chennai,1069,2024-01-19,2024-01-28,Delayed,15792.122479135322,Bike
256,1818,Bangalore,Hyderabad,1191,2024-01-26,2024-01-30,On-Time,15409.373617544752,Truck
257,1233,Mumbai,Hyderabad,1886,2024-01-16,2024-01-19,On-Time,21866.717064866472,Van
258,1683,Bangalore,Chennai,210,2024-01-12,2024-01-13,On-Time,2263.3948055272776,Bike
259,1663,Bangalore,Pune,450,2024-01-12,2024-01-16,On-Time,6147.456954200256,Van
260,1974,Bangalore,Pune,247,2024-01-20,2024-01-29,Delayed,1949.9156184001351,Van
261,1826,Bangalore,Hyderabad,1333,2024-01-06,2024-01-12,Delayed,12899.19056242341,Truck
262,1373,Mumbai,Pune,709,2024-01-23,2024-01-29,Delayed,7936.4748828084985,Van
263,1671,Bangalore,Hyderabad,1825,2024-01-26,2024-01-27,On-Time,16629.226184618212,Van
264,1607,Delhi,Hyderabad,1120,2024-01-04,2024-01-06,On-Time,10387.848285811002,Truck
265,1471,Delhi,Chennai,448,2024-01-06,2024-01-12,Delayed,3719.6753104093386,Truck
266,1232,Bangalore,Chennai,1783,2024-01-11,2024-01-13,On-Time,18975.253291485278,Truck
267,1691,Bangalore,Chennai,1632,2024-01-01,2024-01-04,On-Time,22041.376297206694,Van
268,1112,Delhi,Hyderabad,127,2024-01-30,2024-02-03,On-Time,890.9410400680174,Van
269,1829,Delhi,Chennai,173,2024-01-24,2024-01-29,On-Time,2481.5691570434537,Van
270,1496,Mumbai,Pune,124,2024-01-23,2024-02-01,Delayed,1474.4686906478046,Truck
271,1441,Delhi,Pune,1944,2024-01-15,2024-01-19,On-Time,25724.43125449979,Bike
272,1563,Delhi,Hyderabad,186,2024-01-27,2024-02-05,Delayed,1964.5146882918216,Van
273,1267,Bangalore,Hyderabad,651,2024-01-11,2024-01-14,On-Time,8329.653726270653,Bike
274,1509,Delhi,Chennai,1473,2024-01-25,2024-02-02,Delayed,7603.631852810352,Truck
275,1806,Mumbai,Hyderabad,886,2024-01-19,2024-01-20,On-Time,11680.850563546683,Van
276,1385,Delhi,Hyderabad,1578,2024-01-18,2024-01-27,Delayed,8523.391196367083,Bike
277,1386,Bangalore,Pune,549,2024-01-17,2024-01-26,Delayed,7630.624436232115,Van
278,1112,Bangalore,Pune,1646,2024-01-19,2024-01-21,On-Time,24557.706819548068,Van
279,1612,Delhi,Chennai,187,2024-01-21,2024-01-25,On-Time,1484.9061542705745,Van
280,1624,Bangalore,Hyderabad,99,2024-01-14,2024-01-22,Delayed,703.2153707229356,Bike
281,1951,Mumbai,Hyderabad,1844,2024-01-27,2024-02-03,Delayed,23333.300429542272,Truck
